bag,ztop,EDC3béta,AICC2012,deutfinal,temp,acc-EDC3beta
51790.0,28479.0,4730163.0,4930590.0,-4100.0,2145.0,22.0
51800.0,28485.0,4733399.0,4934263.0,-4100.0,2145.0,22.0
51810.0,28490.0,4736640.0,4937937.0,-4102.0,2145.0,21.0
51820.0,28496.0,4739892.0,4941610.0,-4088.0,2147.0,22.0
51830.0,28501.0,4743086.0,4945313.0,-4127.0,2141.0,21.0
51840.0,28507.0,4746465.0,4949017.0,-4101.0,2145.0,21.0
51850.0,28512.0,4749730.0,4952720.0,-4120.0,2142.0,21.0
51860.0,28518.0,4753093.0,4956500.0,-4120.0,2142.0,21.0
51870.0,28523.0,4756463.0,4960280.0,-4120.0,2142.0,21.0
51880.0,28529.0,4759836.0,4964060.0,-4107.0,2144.0,21.0
51890.0,28534.0,4763146.0,4967793.0,-4117.0,2143.0,21.0
51900.0,28540.0,4766512.0,4971527.0,-4119.0,2142.0,21.0
51910.0,28545.0,4769895.0,4975260.0,-4130.0,2141.0,21.0
51920.0,28551.0,4773338.0,4979033.0,-4111.0,2144.0,21.0
51930.0,28556.0,4776689.0,4982807.0,-4130.0,2141.0,21.0
51940.0,28562.0,4780140.0,4986580.0,-4121.0,2142.0,21.0
51950.0,28567.0,4783554.0,4990320.0,-4127.0,2141.0,21.0
51960.0,28573.0,4787002.0,4994060.0,-4117.0,2143.0,21.0
51970.0,28578.0,4790407.0,4997800.0,-4113.0,2143.0,21.0
51980.0,28584.0,4793798.0,5001597.0,-4148.0,2138.0,20.0
51990.0,28589.0,4797386.0,5005393.0,-4145.0,2138.0,20.0
52000.0,28595.0,4800968.0,5009190.0,-4149.0,2138.0,20.0
52010.0,28600.0,4804578.0,5013073.0,-4155.0,2137.0,20.0
52020.0,28606.0,4808227.0,5016957.0,-4157.0,2136.0,20.0
52030.0,28611.0,4811897.0,5020840.0,-4179.0,2133.0,19.0
52040.0,28617.0,4815692.0,5024723.0,-4140.0,2139.0,20.0
52050.0,28622.0,4819273.0,5028607.0,-4156.0,2137.0,20.0
52060.0,28628.0,4822950.0,5032490.0,-4157.0,2136.0,20.0
52070.0,28633.0,4826635.0,5036317.0,-4152.0,2137.0,20.0
52080.0,28639.0,4830297.0,5040143.0,-4142.0,2139.0,20.0
52090.0,28644.0,4833908.0,5043970.0,-4157.0,2136.0,20.0
52100.0,28650.0,4837605.0,5047777.0,-4129.0,2141.0,21.0
52110.0,28655.0,4841160.0,5051583.0,-4153.0,2137.0,20.0
52120.0,28661.0,4844853.0,5055390.0,-4192.0,2131.0,19.0
52130.0,28666.0,4848787.0,5059543.0,-4209.0,2128.0,18.0
52140.0,28672.0,4852837.0,5063697.0,-4203.0,2129.0,18.0
52150.0,28677.0,4856854.0,5067850.0,-4185.0,2132.0,19.0
52160.0,28683.0,4860763.0,5071847.0,-4172.0,2134.0,19.0
52170.0,28688.0,4864591.0,5075843.0,-4168.0,2135.0,19.0
52180.0,28694.0,4868398.0,5079840.0,-4161.0,2136.0,20.0
52190.0,28699.0,4872166.0,5083793.0,-4163.0,2136.0,20.0
52200.0,28705.0,4875952.0,5087747.0,-4184.0,2132.0,19.0
52210.0,28710.0,4879872.0,5091700.0,-4251.0,2121.0,17.0
52220.0,28716.0,4884231.0,5096093.0,-4248.0,2122.0,17.0
52230.0,28721.0,4888580.0,5100487.0,-4236.0,2124.0,17.0
52240.0,28727.0,4892852.0,5104880.0,-4240.0,2123.0,17.0
52250.0,28732.0,4897155.0,5109110.0,-4227.0,2125.0,18.0
52260.0,28738.0,4901379.0,5113340.0,-4235.0,2124.0,17.0
52270.0,28743.0,4905662.0,5117570.0,-4241.0,2123.0,17.0
52280.0,28749.0,4909994.0,5121797.0,-4246.0,2122.0,17.0
52290.0,28754.0,4914367.0,5126023.0,-4249.0,2122.0,17.0
52300.0,28760.0,4918770.0,5130250.0,-4236.0,2124.0,17.0
52310.0,28765.0,4923091.0,5134357.0,-4231.0,2125.0,18.0
52320.0,28771.0,4927388.0,5138463.0,-4230.0,2125.0,18.0
52330.0,28776.0,4931686.0,5142570.0,-4239.0,2124.0,17.0
52340.0,28782.0,4936047.0,5146577.0,-4226.0,2126.0,18.0
52350.0,28787.0,4940327.0,5150583.0,-4190.0,2132.0,19.0
52360.0,28793.0,4944374.0,5154590.0,-4196.0,2131.0,19.0
52370.0,28798.0,4948461.0,5158530.0,-4207.0,2129.0,18.0
52380.0,28804.0,4952620.0,5162470.0,-4207.0,2130.0,18.0
52390.0,28809.0,4956782.0,5166410.0,-4177.0,2135.0,19.0
52400.0,28815.0,4960751.0,5170120.0,-4155.0,2139.0,20.0
52410.0,28820.0,4964586.0,5173830.0,-4152.0,2139.0,20.0
52420.0,28826.0,4968410.0,5177540.0,-4181.0,2135.0,19.0
52430.0,28831.0,4972408.0,5181343.0,-4172.0,2136.0,20.0
52440.0,28837.0,4976358.0,5185147.0,-4171.0,2136.0,20.0
52450.0,28842.0,4980303.0,5188950.0,-4125.0,2144.0,21.0
