Statistic Label,Year,Month,UNIT,VALUE
Mean Temperature,2009,4,Degrees C,"8,70"
Mean Temperature,2009,5,Degrees C,"11,20"
Mean Temperature,2009,6,Degrees C,"13,50"
Mean Temperature,2009,7,Degrees C,"15,00"
Mean Temperature,2009,8,Degrees C,"15,70"
Mean Temperature,2009,9,Degrees C,"12,80"
Mean Temperature,2009,10,Degrees C,"11,20"
Mean Temperature,2009,11,Degrees C,"7,50"
Mean Temperature,2009,12,Degrees C,"3,50"
Mean Temperature,2010,1,Degrees C,"1,90"
Mean Temperature,2010,2,Degrees C,"2,40"
Mean Temperature,2010,3,Degrees C,"5,30"
Mean Temperature,2010,4,Degrees C,"7,90"
Mean Temperature,2010,5,Degrees C,"9,90"
Mean Temperature,2010,6,Degrees C,"14,40"
Mean Temperature,2010,7,Degrees C,"16,00"
Mean Temperature,2010,8,Degrees C,"14,30"
Mean Temperature,2010,9,Degrees C,"13,30"
Mean Temperature,2010,10,Degrees C,"10,30"
Mean Temperature,2010,11,Degrees C,"5,20"
Mean Temperature,2010,12,Degrees C,"0,00"
Mean Temperature,2011,1,Degrees C,"3,80"
Mean Temperature,2011,2,Degrees C,"6,90"
Mean Temperature,2011,3,Degrees C,"6,10"
Mean Temperature,2011,4,Degrees C,"10,40"
Mean Temperature,2011,5,Degrees C,"11,70"
Mean Temperature,2011,6,Degrees C,"12,40"
Mean Temperature,2011,7,Degrees C,"14,10"
Mean Temperature,2011,8,Degrees C,"13,90"
Mean Temperature,2011,9,Degrees C,"14,20"
Mean Temperature,2011,10,Degrees C,"12,20"
Mean Temperature,2011,11,Degrees C,"9,60"
Mean Temperature,2011,12,Degrees C,"5,70"
Mean Temperature,2012,1,Degrees C,"6,40"
Mean Temperature,2012,2,Degrees C,"6,60"
Mean Temperature,2012,3,Degrees C,"8,30"
Mean Temperature,2012,4,Degrees C,"6,80"
Mean Temperature,2012,5,Degrees C,"10,10"
Mean Temperature,2012,6,Degrees C,"12,90"
Mean Temperature,2012,7,Degrees C,"14,30"
Mean Temperature,2012,8,Degrees C,"15,60"
Mean Temperature,2012,9,Degrees C,"12,50"
Mean Temperature,2012,10,Degrees C,"8,60"
Mean Temperature,2012,11,Degrees C,"6,40"
Mean Temperature,2012,12,Degrees C,"5,30"
Mean Temperature,2013,1,Degrees C,"4,80"
Mean Temperature,2013,2,Degrees C,"4,40"
Mean Temperature,2013,3,Degrees C,"3,30"
Mean Temperature,2013,4,Degrees C,"7,10"
Mean Temperature,2013,5,Degrees C,"10,40"
Mean Temperature,2013,6,Degrees C,"13,00"
Mean Temperature,2013,7,Degrees C,"16,80"
Mean Temperature,2013,8,Degrees C,"15,90"
Mean Temperature,2013,9,Degrees C,"13,40"
Mean Temperature,2013,10,Degrees C,"11,80"
Mean Temperature,2013,11,Degrees C,"6,30"
Mean Temperature,2013,12,Degrees C,"7,00"
Mean Temperature,2014,1,Degrees C,"5,80"
Mean Temperature,2014,2,Degrees C,"5,60"
Mean Temperature,2014,3,Degrees C,"7,00"
Mean Temperature,2014,4,Degrees C,"9,30"
Mean Temperature,2014,5,Degrees C,"11,60"
Mean Temperature,2014,6,Degrees C,"13,80"
Mean Temperature,2014,7,Degrees C,"16,10"
Mean Temperature,2014,8,Degrees C,"14,10"
Mean Temperature,2014,9,Degrees C,"13,40"
Mean Temperature,2014,10,Degrees C,"11,30"
Mean Temperature,2014,11,Degrees C,"7,60"
Mean Temperature,2014,12,Degrees C,"5,10"
Mean Temperature,2015,1,Degrees C,"4,40"
Mean Temperature,2015,2,Degrees C,"4,00"
Mean Temperature,2015,3,Degrees C,"6,00"
Mean Temperature,2015,4,Degrees C,"7,60"
Mean Temperature,2015,5,Degrees C,"9,90"
Mean Temperature,2015,6,Degrees C,"13,20"
Mean Temperature,2015,7,Degrees C,"14,10"
Mean Temperature,2015,8,Degrees C,"14,10"
Mean Temperature,2015,9,Degrees C,"12,00"
Mean Temperature,2015,10,Degrees C,"10,30"
Mean Temperature,2015,11,Degrees C,"9,00"
Mean Temperature,2015,12,Degrees C,"8,30"
Mean Temperature,2016,1,Degrees C,"5,90"
Mean Temperature,2016,2,Degrees C,"4,80"
Mean Temperature,2016,3,Degrees C,"6,10"
Mean Temperature,2016,4,Degrees C,"6,70"
Mean Temperature,2016,5,Degrees C,"11,30"
Mean Temperature,2016,6,Degrees C,"14,20"
Mean Temperature,2016,7,Degrees C,"15,90"
Mean Temperature,2016,8,Degrees C,"15,60"
Mean Temperature,2016,9,Degrees C,"14,50"
Mean Temperature,2016,10,Degrees C,"10,60"
Mean Temperature,2016,11,Degrees C,"5,70"
Mean Temperature,2016,12,Degrees C,"6,90"
Mean Temperature,2017,1,Degrees C,"5,60"
Mean Temperature,2017,2,Degrees C,"6,20"
Mean Temperature,2017,3,Degrees C,"8,10"
Mean Temperature,2017,4,Degrees C,"8,50"
Mean Temperature,2017,5,Degrees C,"12,00"
Mean Temperature,2017,6,Degrees C,"14,70"
Mean Temperature,2017,7,Degrees C,"15,20"
Mean Temperature,2017,8,Degrees C,"14,70"
Mean Temperature,2017,9,Degrees C,"12,80"
Mean Temperature,2017,10,Degrees C,"11,50"
Mean Temperature,2017,11,Degrees C,"6,50"
Mean Temperature,2017,12,Degrees C,"5,20"
Mean Temperature,2018,1,Degrees C,"5,20"
Mean Temperature,2018,2,Degrees C,"3,50"
Mean Temperature,2018,3,Degrees C,"4,40"
Mean Temperature,2018,4,Degrees C,"8,30"
Mean Temperature,2018,5,Degrees C,"11,70"
Mean Temperature,2018,6,Degrees C,"14,70"
Mean Temperature,2018,7,Degrees C,"16,40"
Mean Temperature,2018,8,Degrees C,"15,70"
Mean Temperature,2018,9,Degrees C,"12,60"
Mean Temperature,2018,10,Degrees C,"9,70"
Mean Temperature,2018,11,Degrees C,"8,30"
Mean Temperature,2018,12,Degrees C,"7,80"
Mean Temperature,2019,1,Degrees C,"5,40"
Mean Temperature,2019,2,Degrees C,"7,30"
Mean Temperature,2019,3,Degrees C,"7,60"
Mean Temperature,2019,4,Degrees C,"8,20"
Mean Temperature,2019,5,Degrees C,"10,40"
Mean Temperature,2019,6,Degrees C,"12,70"
Mean Temperature,2019,7,Degrees C,"16,20"
Mean Temperature,2019,8,Degrees C,"15,70"
Mean Temperature,2019,9,Degrees C,"13,40"
Mean Temperature,2019,10,Degrees C,"8,80"
Mean Temperature,2019,11,Degrees C,"6,00"
Mean Temperature,2019,12,Degrees C,"6,20"
Mean Temperature,2020,1,Degrees C,"6,30"
Mean Temperature,2020,2,Degrees C,"5,80"
Mean Temperature,2020,3,Degrees C,"6,10"
Mean Temperature,2020,4,Degrees C,"8,80"
Mean Temperature,2020,5,Degrees C,"11,30"
Mean Temperature,2020,6,Degrees C,"13,60"
Mean Temperature,2020,7,Degrees C,"14,60"
Mean Temperature,2020,8,Degrees C,"15,00"
Mean Temperature,2020,9,Degrees C,"13,20"
Mean Temperature,2020,10,Degrees C,"9,70"
Mean Temperature,2020,11,Degrees C,"8,30"
Mean Temperature,2020,12,Degrees C,"4,90"
Mean Temperature,2021,1,Degrees C,"3,50"
Mean Temperature,2021,2,Degrees C,"6,10"
Mean Temperature,2021,3,Degrees C,"7,30"
Mean Temperature,2021,4,Degrees C,"6,00"
Mean Temperature,2021,5,Degrees C,"9,40"
Mean Temperature,2021,6,Degrees C,"14,00"
Mean Temperature,2021,7,Degrees C,"16,20"
Mean Temperature,2021,8,Degrees C,"14,90"
Mean Temperature,2021,9,Degrees C,"15,10"
Mean Temperature,2021,10,Degrees C,"12,00"
Mean Temperature,2021,11,Degrees C,"7,80"
Mean Temperature,2021,12,Degrees C,"6,80"
Mean Temperature,2022,1,Degrees C,"5,70"
Mean Temperature,2022,2,Degrees C,"6,80"
Mean Temperature,2022,3,Degrees C,"6,70"
Mean Temperature,2022,4,Degrees C,"7,90"
Mean Temperature,2022,5,Degrees C,"12,20"
Mean Temperature,2022,6,Degrees C,"13,80"
Mean Temperature,2022,7,Degrees C,"16,60"
Mean Temperature,2022,8,Degrees C,"16,20"
Mean Temperature,2022,9,Degrees C,"13,30"
Mean Temperature,2022,10,Degrees C,"12,30"
Mean Temperature,2022,11,Degrees C,"8,90"
Mean Temperature,2022,12,Degrees C,"4,70"
